kind,magnitude,n_ep,mean_nis,ks_pvalue,frac_in_CI_nis,sod_mean,sod_ks_pvalue,flow_phi_mean,pos_err_mean,pos_err_max,ori_err_mean,ori_err_max
P1,0.0,20,0.1580000880874843,0.0,0.22651006711409397,2.999551025835419,0.0,0.39573737753996385,0.0,0.0,3.0790185216271007e-17,4.440892098500626e-16
P1,0.005,20,0.15269246867247685,0.0,0.2238255033557047,2.9995510258354185,0.0,0.7408059120835061,0.37249999999999994,0.745,3.0790185216271007e-17,4.440892098500626e-16
P1,0.01,20,0.16033682233275046,0.0,0.22751677852348992,2.999551025835417,0.0,0.9761831876847543,0.7449999999999999,1.4900000000000002,3.0790185216271007e-17,4.440892098500626e-16
P1,0.02,20,0.2144814488791409,0.0,0.2278523489932886,2.999551025835419,0.0,0.9956171845978454,1.4899999999999998,2.98,3.0790185216271007e-17,4.440892098500626e-16
P1,0.05,20,0.6877626823250582,0.0,0.2174496644295302,2.999551025835419,0.0,0.9993935900202364,3.724999999999999,7.45,3.0790185216271007e-17,4.440892098500626e-16
P2,0.0,20,0.1580000880874843,0.0,0.22651006711409397,2.999551025835419,0.0,0.39573737753996385,0.0,0.0,3.0790185216271007e-17,4.440892098500626e-16
P2,0.005,20,0.15800008808748428,0.0,0.22651006711409397,2.9995510258353453,0.0,0.39573737753996385,0.0,0.0,0.004999999999999944,0.0050000000000003375
P2,0.01,20,0.1580000880874843,0.0,0.22651006711409397,2.9995510258353772,0.0,0.39573737753996385,0.0,0.0,0.009999999999999903,0.010000000000000675
P2,0.02,20,0.1580000880874844,0.0,0.22651006711409397,2.9995510258353484,0.0,0.39573737753996385,0.0,0.0,0.020000000000000004,0.020000000000000462
P2,0.05,20,0.15800008808748423,0.0,0.22651006711409397,2.999551025835375,0.0,0.39573737753996385,0.0,0.0,0.04999999999999993,0.05000000000000071
P3,0.0,20,0.1580000880874843,0.0,0.22651006711409397,2.999551025835419,0.0,0.39573737753996385,0.0,0.0,3.0790185216271007e-17,4.440892098500626e-16
P3,0.005,20,93.56451575891505,0.0,0.04865771812080537,54.953773778277714,0.0,0.9954217030866875,18.562916666666677,55.5025,3.0790185216271007e-17,4.440892098500626e-16
P3,0.01,20,371.4390973543171,0.0,0.027181208053691275,210.31740369797748,0.0,0.9972649664447226,37.125833333333354,111.005,3.0790185216271007e-17,4.440892098500626e-16
P3,0.02,20,1480.5924583188441,0.0,0.014093959731543624,831.2728850391495,0.0,0.9991508309973705,74.25166666666671,222.01,3.0790185216271007e-17,4.440892098500626e-16
P3,0.05,20,9235.286123402217,0.0,0.0063758389261744965,5175.965101076786,0.0,0.9999182871423654,185.62916666666666,555.025,3.0790185216271007e-17,4.440892098500626e-16
P4,0.0,20,0.1580000880874843,0.0,0.22651006711409397,2.999551025835419,0.0,0.39573737753996385,0.0,0.0,3.0790185216271007e-17,4.440892098500626e-16
P4,0.005,20,0.1658751730237584,0.0,0.23389261744966444,3.0104208650550994,0.0,0.37301770916191435,0.002250461678328466,0.007069517009843841,0.00047739501406396915,0.0014996710252126455
P4,0.01,20,0.17952843956709827,0.0,0.23825503355704697,3.0479529415324373,0.0,0.3735443515096145,0.004500923356656933,0.014139034019687701,0.0009547900281279307,0.002999342050425291
P4,0.02,20,0.2241695174749749,0.0,0.25604026845637584,3.203003806259237,0.0,0.3580176959462196,0.009001846713313869,0.028278068039375402,0.0019095800562558326,0.005998684100849694
P4,0.05,20,0.49676910976818134,0.0,0.5956375838926175,4.308050094619203,0.0,0.3183005042932858,0.022504616783284682,0.07069517009843847,0.00477395014063957,0.014996710252123346
