source,filter,signal,mean_sod,frac_in_CI,ks_pvalue,n_steps
gt,ekf_cart,raw z_t (no EKF),2.996964250663366,0.7593908629441625,8.785803527837604e-60,985
gt,ekf_cart,est x_t|t (EKF),0.28561877823911874,0.350253807106599,0.0,985
gt,riekf,raw z_t (no EKF),2.996964250663366,0.7593908629441625,8.785803527837604e-60,985
gt,riekf,est x_t|t (EKF),0.392974136514278,0.35736040609137054,0.0,985
rollout,ekf_cart,raw z_t (no EKF),18.23920062864191,0.8030456852791878,8.46648862153478e-27,985
rollout,ekf_cart,est x_t|t (EKF),1.1280453117270037,0.4101522842639594,0.0,985
rollout,riekf,raw z_t (no EKF),18.23920062864191,0.8030456852791878,8.46648862153478e-27,985
rollout,riekf,est x_t|t (EKF),2.003119792676339,0.41725888324873095,0.0,985
